Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Logueo,Chrome 86.0.4240.198,,,2020-12-07 22:04:57,2020-12-07 22:07:52,2m - 54.928s,FAILED
,,,,,,,
Test Cases/Login/La Parrilla,Chrome 86.0.4240.198,,,2020-12-07 22:04:57,2020-12-07 22:05:30,32.191s,PASSED
openBrowser(url),Chrome 86.0.4240.198,,,2020-12-07 22:04:58,2020-12-07 22:05:08,10.166s,PASSED
maximizeWindow(),Chrome 86.0.4240.198,,,2020-12-07 22:05:08,2020-12-07 22:05:09,1.426s,PASSED
"click(findTestObject(""Login/La parrilla login/select_Seleccionar UnidadLa ParrillaLa Enca_3f6097""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:09,2020-12-07 22:05:11,1.440s,PASSED
"selectOptionByLabel(findTestObject(""Login/La parrilla login/select_Seleccionar UnidadLa ParrillaLa Enca_3f6097""), ""La Parrilla"", false)",Chrome 86.0.4240.198,,,2020-12-07 22:05:11,2020-12-07 22:05:12,1.116s,PASSED
"click(findTestObject(""Login/La parrilla login/button_Iniciar Sesin""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:12,2020-12-07 22:05:13,1.455s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in with your corporate ID_btn bt_b79ff6""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:13,2020-12-07 22:05:18,4.581s,PASSED
refresh(),Chrome 86.0.4240.198,,,2020-12-07 22:05:18,2020-12-07 22:05:19,1.011s,PASSED
"setText(findTestObject(""Login/La parrilla login/input_Sign in_loginfmt""), ""iperez@firstmajestic.com"")",Chrome 86.0.4240.198,,,2020-12-07 22:05:19,2020-12-07 22:05:20,1.481s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:20,2020-12-07 22:05:21,0.570s,PASSED
"setEncryptedText(findTestObject(""Login/La parrilla login/input_Enter password_passwd""), ""ykGCkDCd7AS2UCfUpOmvYw=="")",Chrome 86.0.4240.198,,,2020-12-07 22:05:21,2020-12-07 22:05:23,1.667s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:23,2020-12-07 22:05:24,1.473s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:24,2020-12-07 22:05:30,5.371s,PASSED
delay(7),Chrome 86.0.4240.198,,,2020-12-07 22:05:30,2020-12-07 22:05:30,0.022s,NOT_RUN
"verifyTextPresent(""Irving"", false)",Chrome 86.0.4240.198,,,2020-12-07 22:05:30,2020-12-07 22:05:30,0.006s,NOT_RUN
,,,,,,,
Test Cases/Login/La Encantada,Chrome 86.0.4240.198,,,2020-12-07 22:05:30,2020-12-07 22:05:56,26.782s,PASSED
openBrowser(url),Chrome 86.0.4240.198,,,2020-12-07 22:05:30,2020-12-07 22:05:39,9.338s,PASSED
maximizeWindow(),Chrome 86.0.4240.198,,,2020-12-07 22:05:39,2020-12-07 22:05:41,1.385s,PASSED
"click(findTestObject(""Login/La parrilla login/select_Seleccionar UnidadLa ParrillaLa Enca_3f6097""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:41,2020-12-07 22:05:42,0.781s,PASSED
"selectOptionByLabel(findTestObject(""Login/La parrilla login/select_Seleccionar UnidadLa ParrillaLa Enca_3f6097""), ""La Encantada"", false)",Chrome 86.0.4240.198,,,2020-12-07 22:05:42,2020-12-07 22:05:42,0.667s,PASSED
"click(findTestObject(""Login/La parrilla login/button_Iniciar Sesin""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:42,2020-12-07 22:05:43,0.494s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in with your corporate ID_btn bt_b79ff6""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:43,2020-12-07 22:05:45,2.718s,PASSED
"setText(findTestObject(""Login/La parrilla login/input_Sign in_loginfmt""), ""iperez@firstmajestic.com"")",Chrome 86.0.4240.198,,,2020-12-07 22:05:45,2020-12-07 22:05:48,2.153s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:48,2020-12-07 22:05:48,0.473s,PASSED
"setEncryptedText(findTestObject(""Login/La parrilla login/input_Enter password_passwd""), ""ykGCkDCd7AS2UCfUpOmvYw=="")",Chrome 86.0.4240.198,,,2020-12-07 22:05:48,2020-12-07 22:05:50,1.819s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:50,2020-12-07 22:05:52,1.755s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:05:52,2020-12-07 22:05:56,4.753s,PASSED
delay(8),Chrome 86.0.4240.198,,,2020-12-07 22:05:56,2020-12-07 22:05:56,0.001s,NOT_RUN
,,,,,,,
Test Cases/Login/Santa Elena,Chrome 86.0.4240.198,,,2020-12-07 22:05:56,2020-12-07 22:06:23,26.467s,PASSED
openBrowser(url),Chrome 86.0.4240.198,,,2020-12-07 22:05:57,2020-12-07 22:06:04,6.651s,PASSED
maximizeWindow(),Chrome 86.0.4240.198,,,2020-12-07 22:06:04,2020-12-07 22:06:05,1.275s,PASSED
"click(findTestObject(""Login/La parrilla login/select_Seleccionar UnidadLa ParrillaLa Enca_3f6097""))",Chrome 86.0.4240.198,,,2020-12-07 22:06:05,2020-12-07 22:06:06,0.671s,PASSED
"selectOptionByLabel(findTestObject(""Login/La parrilla login/select_Seleccionar UnidadLa ParrillaLa Enca_3f6097""), ""Santa Elena"", false)",Chrome 86.0.4240.198,,,2020-12-07 22:06:06,2020-12-07 22:06:06,0.833s,PASSED
"click(findTestObject(""Login/La parrilla login/button_Iniciar Sesin""))",Chrome 86.0.4240.198,,,2020-12-07 22:06:06,2020-12-07 22:06:07,0.469s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in with your corporate ID_btn bt_b79ff6""))",Chrome 86.0.4240.198,,,2020-12-07 22:06:07,2020-12-07 22:06:11,4.213s,PASSED
"setText(findTestObject(""Login/La parrilla login/input_Sign in_loginfmt""), ""iperez@firstmajestic.com"")",Chrome 86.0.4240.198,,,2020-12-07 22:06:11,2020-12-07 22:06:13,2.241s,PASSED
"click(findTestObject(""Login/La parrilla login/input_Sign in_idSIButton9""))",Chrome 86.0.4240.198,,,2020-12-07 22:06:13,2020-12-07 22:06:14,0.691s,PASSED
